HUC8,HUC4,Region,triplet1,triplet2,triplet3,triplet1last,triplet2last,triplet3last,BCG,BCG1,BCG2,BCG3,HUC8scenario,tripletscenario,HUC4scenario,HUC8area,HUC4area,tripletarea,HUC8states,triplestates,HUC4states
3180002,318,SE,3180002,3180001,3180003,0002,0001,0003,4,4,5,4,2,3,3,1976.9,8688.8,5658.8,Mississippi,Mississippi,Louisiana and Mississippi
3180003,318,SE,3180003,3180002,3180001,0003,0002,0001,4,4,4,5,2,3,3,1218.6,8688.8,5658.8,Mississippi,Mississippi,Louisiana and Mississippi
3180004,318,SE,3180004,3180005,3180003,0004,0005,0003,4,4,3,4,2,3,3,1821.3,8688.8,4248.6,Louisiana and Mississippi,Louisiana and Mississippi,Louisiana and Mississippi
3180005,318,SE,3180005,3180004,3180003,0005,0004,0003,3,3,4,4,1,3,3,1208.7,8688.8,4248.6,Louisiana and Mississippi,Louisiana and Mississippi,Louisiana and Mississippi
8050001,805,SE,8050001,8050003,8050002,0001,0003,0002,6,6,5,6,3,3,3,2887.5,5294.9,5294.8,Arkansas and Louisiana,Arkansas and Louisiana,Arkansas and Louisiana
8050002,805,SE,8050002,8050003,8050001,0002,0003,0001,6,6,5,6,3,3,3,1018.3,5294.9,5294.8,Arkansas and Louisiana,Arkansas and Louisiana,Arkansas and Louisiana
8050003,805,SE,8050003,8050001,8050002,0003,0001,0002,5,5,6,6,3,3,3,1389,5294.9,5294.8,Louisiana,Arkansas and Louisiana,Arkansas and Louisiana
8070201,807,SE,8070201,8070202,8070203,0201,0202,0203,5,5,4,4,3,3,3,694.9,5820.2,3304.7,Louisiana and Mississippi,Louisiana and Mississippi,Louisiana and Mississippi
8070202,807,SE,8070202,8070203,8070205,0202,0203,0205,4,4,4,3,2,3,3,1883.8,5820.2,3385.3,Louisiana and Mississippi,Louisiana and Mississippi,Louisiana and Mississippi
8070203,807,SE,8070203,8070204,8070205,0203,0204,0205,4,4,4,3,2,3,3,726,5820.2,2214.4,Louisiana and Mississippi,Louisiana and Mississippi,Louisiana and Mississippi
8070204,807,SE,8070204,8070202,8070203,0204,0202,0203,4,4,4,4,2,2,3,712.9,5820.2,3322.7,Louisiana,Louisiana and Mississippi,Louisiana and Mississippi
8070205,807,SE,8070205,8070202,8070203,0205,0202,0203,3,3,4,4,1,3,3,775.5,5820.2,3385.3,Louisiana and Mississippi,Louisiana and Mississippi,Louisiana and Mississippi
8070300,807,SE,8070300,8070100,8070201,0300,0100,0201,6,6,6,5,3,3,3,794.9,5820.2,1722.2,Louisiana,Louisiana and Mississippi,Louisiana and Mississippi
8070100,807,SE,8070100,8070300,8070201,0100,0300,0201,6,6,6,5,3,3,3,232.4,5820.2,1722.2,Louisiana and Mississippi,Louisiana and Mississippi,Louisiana and Mississippi
1010002,101,NE,1010002,1010003,1010004,0002,0003,0004,3,3,4,3,1,3,3,1234.9,14090.3,4565.8,Maine,Maine,Maine and Canada
1010003,101,NE,1010003,1010002,1010004,0003,0002,0004,4,4,3,3,2,3,3,890.4,14090.3,4565.8,Maine,Maine,Maine and Canada
1010004,101,NE,1010004,1010003,1010005,0004,0003,0005,3,3,4,2,1,3,3,2440.5,14090.3,3844,Maine and Canada,Maine and Canada,Maine and Canada
1010005,101,NE,1010005,1010004,1010010,0005,0004,0010,2,2,3,4,1,3,3,513.1,14090.3,3929.3,Maine and Canada,Maine and Canada,Maine and Canada
1010010,101,NE,1010010,1010005,1010011,0010,0005,0011,4,4,2,4,2,3,3,975.7,14090.3,2894.1,Maine and Canada,Maine and Canada,Maine and Canada
1010011,101,NE,1010011,1010005,1010010,0011,0005,0010,4,4,2,4,2,3,3,1405.3,14090.3,2894.1,Maine and Canada,Maine and Canada,Maine and Canada
1020003,102,NE,1020003,1020001,1020002,0003,0001,0002,6,6,4,3,3,3,3,1511.6,8610.1,4762.7,Maine,Maine and Canada,Maine and Canada
1020001,102,NE,1020001,1020003,1020002,0001,0003,0002,4,4,6,3,2,3,3,2131.6,8610.1,4762.7,Maine and Canada,Maine and Canada,Maine and Canada
1020002,102,NE,1020002,1020001,1020003,0002,0001,0003,3,3,4,6,1,3,3,1119.5,8610.1,4762.7,Maine,Maine and Canada,Maine and Canada
1020004,102,NE,1020004,1020001,1020002,0004,0001,0002,4,4,4,3,2,3,3,1453.3,8610.1,4704.4,Maine,Maine and Canada,Maine and Canada
1020005,102,NE,1020005,1020001,1020004,0005,0001,0004,5,5,4,4,3,3,3,2394,8610.1,5978.9,Maine,Maine and Canada,Maine and Canada
1030002,103,NE,1030002,1030003,1030001,0002,0003,0001,5,5,4,3,3,3,3,877.2,5903,5903,Maine and Canada,Maine and Canada,Maine and Canada
1030003,103,NE,1030003,1030002,1030001,0003,0002,0001,4,4,5,3,2,3,3,3430.7,5903,5903,Maine,Maine and Canada,Maine and Canada
1030001,103,NE,1030001,1030002,1030003,0001,0002,0003,3,3,5,4,1,3,3,1595.1,5903,5903,Maine and Canada,Maine and Canada,Maine and Canada
1040001,104,NE,1040001,1040002,0,0001,0002,0000,6,6,4,0,3,3,3,1370.2,3527.2,3527.1,"Maine, New Hampshire, and Canada","Maine, New Hampshire, and Canada","Maine, New Hampshire, and Canada"
1040002,104,NE,1040002,1040001,0,0002,0001,0000,4,4,6,0,2,3,3,2156.9,3527.2,3527.1,Maine and New Hampshire,"Maine, New Hampshire, and Canada","Maine, New Hampshire, and Canada"
1060001,106,NE,1060001,1060002,1060003,0001,0002,0003,4,4,4,4,2,2,2,1424,4852.7,4852.6,Maine,"Massachusetts, Maine, and New Hampshire","Massachusetts, Maine, and New Hampshire"
1060002,106,NE,1060002,1060001,1060003,0002,0001,0003,4,4,4,4,2,2,2,1700.7,4852.7,4852.6,Maine and New Hampshire,"Massachusetts, Maine, and New Hampshire","Massachusetts, Maine, and New Hampshire"
1060003,106,NE,1060003,1060001,1060002,0003,0001,0002,4,4,4,4,2,2,2,1727.9,4852.7,4852.6,"Massachusetts, Maine, and New Hampshire","Massachusetts, Maine, and New Hampshire","Massachusetts, Maine, and New Hampshire"
1070001,107,NE,1070001,1070002,1070003,0001,0002,0003,4,4,4,4,2,2,3,1022.7,5005.2,2272.2,New Hampshire,New Hampshire,Massachusetts and New Hampshire
1070002,107,NE,1070002,1070001,1070006,0002,0001,0006,4,4,4,6,2,3,3,485.4,5005.2,3308.4,New Hampshire,Massachusetts and New Hampshire,Massachusetts and New Hampshire
1070003,107,NE,1070003,1070004,1070006,0003,0004,0006,4,4,4,6,2,3,3,764.1,5005.2,3096.9,New Hampshire,Massachusetts and New Hampshire,Massachusetts and New Hampshire
1070004,107,NE,1070004,1070005,1070006,0004,0005,0006,4,4,5,6,2,3,3,532.5,5005.2,2733,Massachusetts and New Hampshire,Massachusetts and New Hampshire,Massachusetts and New Hampshire
