zipcode,HUC8,HUC4,triplet1,triplet2,triplet3,triplet1last,triplet2last,triplet3last
32779,3080101,308,3080101,3080102,3080103,0101,0102,0103
32789,3080101,308,3080101,3080102,3080103,0101,0102,0103
32792,3080101,308,3080101,3080102,3080103,0101,0102,0103
32804,3080101,308,3080101,3080102,3080103,0101,0102,0103
32807,3080101,308,3080101,3080102,3080103,0101,0102,0103
32810,3080101,308,3080101,3080102,3080103,0101,0102,0103
32814,3080101,308,3080101,3080102,3080103,0101,0102,0103
32816,3080101,308,3080101,3080102,3080103,0101,0102,0103
32817,3080101,308,3080101,3080102,3080103,0101,0102,0103
32818,3080101,308,3080101,3080102,3080103,0101,0102,0103
32820,3080101,308,3080101,3080102,3080103,0101,0102,0103
32825,3080101,308,3080101,3080102,3080103,0101,0102,0103
32826,3080101,308,3080101,3080102,3080103,0101,0102,0103
32828,3080101,308,3080101,3080102,3080103,0101,0102,0103
32831,3080101,308,3080101,3080102,3080103,0101,0102,0103
32833,3080101,308,3080101,3080102,3080103,0101,0102,0103
32904,3080101,308,3080101,3080102,3080103,0101,0102,0103
32908,3080101,308,3080101,3080102,3080103,0101,0102,0103
32926,3080101,308,3080101,3080102,3080103,0101,0102,0103
32113,3080102,308,3080102,3080101,3080103,0102,0101,0103
32133,3080102,308,3080102,3080101,3080103,0102,0101,0103
32179,3080102,308,3080102,3080101,3080103,0102,0101,0103
32182,3080102,308,3080102,3080101,3080103,0102,0101,0103
32192,3080102,308,3080102,3080101,3080103,0102,0101,0103
32195,3080102,308,3080102,3080101,3080103,0102,0101,0103
32601,3080102,308,3080102,3080101,3080103,0102,0101,0103
32603,3080102,308,3080102,3080101,3080103,0102,0101,0103
32605,3080102,308,3080102,3080101,3080103,0102,0101,0103
32606,3080102,308,3080102,3080101,3080103,0102,0101,0103
32607,3080102,308,3080102,3080101,3080103,0102,0101,0103
32608,3080102,308,3080102,3080101,3080103,0102,0101,0103
32610,3080102,308,3080102,3080101,3080103,0102,0101,0103
32612,3080102,308,3080102,3080101,3080103,0102,0101,0103
32617,3080102,308,3080102,3080101,3080103,0102,0101,0103
32634,3080102,308,3080102,3080101,3080103,0102,0101,0103
32641,3080102,308,3080102,3080101,3080103,0102,0101,0103
32664,3080102,308,3080102,3080101,3080103,0102,0101,0103
32667,3080102,308,3080102,3080101,3080103,0102,0101,0103
32681,3080102,308,3080102,3080101,3080103,0102,0101,0103
32686,3080102,308,3080102,3080101,3080103,0102,0101,0103
32726,3080102,308,3080102,3080101,3080103,0102,0101,0103
32735,3080102,308,3080102,3080101,3080103,0102,0101,0103
32768,3080102,308,3080102,3080101,3080103,0102,0101,0103
32778,3080102,308,3080102,3080101,3080103,0102,0101,0103
34470,3080102,308,3080102,3080101,3080103,0102,0101,0103
34474,3080102,308,3080102,3080101,3080103,0102,0101,0103
34475,3080102,308,3080102,3080101,3080103,0102,0101,0103
34479,3080102,308,3080102,3080101,3080103,0102,0101,0103
34482,3080102,308,3080102,3080101,3080103,0102,0101,0103
34488,3080102,308,3080102,3080101,3080103,0102,0101,0103
34705,3080102,308,3080102,3080101,3080103,0102,0101,0103
