st2,GEOID,lake,lat,lon
ME,23029,Possum Lake at Washington county ,45.0183479551201,-67.6941286977333
ME,23029,North Beaverdam Lake at Washington county ,45.0195702469449,-67.7062072047732
ME,23029,South Beaverdam Lake at Washington county ,44.99590234233,-67.7036446224354
ME,23029,Carloe Pond at Washington county ,45.0539872992122,-67.6645110099136
ME,23029,Grover Lake at Washington county ,44.9529359205654,-67.7367978424651
ME,23029,Third Chain Lake at Washington county ,45.0227160511587,-67.7412365282261
ME,23029,Second Chain Lake at Washington county ,44.9926471951551,-67.7346645128407
ME,23029,East Pike Brook Pond at Washington county ,44.7145165799688,-67.9098637725149
ME,23029,West Pike Brook Pond at Washington county ,44.7140508448999,-67.9133559301061
ME,23029,Lilly Pond at Washington county ,44.7032438843447,-67.893174338249
ME,23029,Schoodic Lake at Washington county ,44.6970416078375,-67.8912272748061
ME,23009,Forbes Pond at Hancock county ,44.4325307457056,-68.0375206759635
ME,23009,Jones Pond at Hancock county ,44.4565734109002,-68.0813527473841
ME,23009,Lower West Bay Pond at Hancock county ,44.4935354845481,-68.0570529444493
ME,23009,Morancy Meadow Pond at Hancock county ,44.5141427488477,-68.0974238669025
ME,23009,Morancy Pond at Hancock county ,44.509964888179,-68.1136784246634
ME,23009,West Bay Pond at Hancock county ,44.515841689416,-68.0655217935098
ME,23019,McGilvry Pond at Penobscot county ,46.3568418088037,-68.4926156862762
ME,23019,Lower La Pomkeag Lake at Penobscot county ,46.3741526326064,-68.599309990257
ME,23009,Basin Pond at Hancock county ,44.5336065510203,-68.1768038630889
ME,23021,Sawyer Pond at Piscataquis county ,45.477809014596,-69.5553529642614
ME,23021,Little Duck Pond at Piscataquis county ,45.7557372476837,-69.619735367448
ME,23021,Grenell Pond at Piscataquis county ,45.4632030536294,-69.5130567478343
ME,23021,Shadow Pond at Piscataquis county ,45.468243978953,-69.6239605201484
ME,23021,Big Duck Pond at Piscataquis county ,45.7620338018488,-69.6321830302926
ME,23021,Tom Young Pond at Piscataquis county ,45.762105033901,-69.5911647178632
ME,23021,Burnham Pond at Piscataquis county ,45.5408034022809,-69.7185061179737
ME,23021,Papoose Pond at Piscataquis county ,45.4608931530715,-69.6594592822284
ME,23021,Little Spencer Pond at Piscataquis county ,45.7730437549235,-69.5725146340678
ME,23027,Unity Pond at Waldo county ,44.6459710662419,-69.3300902687219
ME,23009,Shillalah Pond at Hancock county ,44.6156875952789,-68.1312515270716
ME,23009,Clark Pond at Hancock county ,44.633420141573,-68.1408868976145
ME,23009,Donnell Pond at Hancock county ,44.5994607252225,-68.1489210981375
ME,23009,Tilden Pond at Hancock county ,44.6351421089973,-68.0720026789375
ME,23009,Anderson Pond at Hancock county ,44.6474282197077,-68.0592218041951
ME,23009,Fox Pond at Hancock county ,44.6259295693389,-68.1109239120365
ME,23009,Myrick Lake at Hancock county ,44.6552010673554,-68.0779571662419
ME,23009,Narraguagus Lake at Hancock county ,44.6584031629421,-68.1435975251216
ME,23009,Abrams Pond at Hancock county ,44.6540093446144,-68.2482895558621
ME,23009,Molasses Pond at Hancock county ,44.6763294601565,-68.2175391102458
ME,23009,Scammon River Pond at Hancock county ,44.6691374303444,-68.2378815609686
ME,23009,Webb Pond at Hancock county ,44.6695064922942,-68.2875083787548
ME,23009,Georges Pond at Hancock county ,44.6135179065115,-68.2405199175383
ME,23009,Little Webb Pond at Hancock county ,44.6891910889583,-68.3186327800742
ME,23009,Leonard Lake at Hancock county ,44.5506174423301,-68.4394203108268
ME,23019,Soule Pond at Penobscot county ,46.2748618234768,-68.8164627640318
