lake,state
Lightfoot Lake,Alabama
Lightseys Pond,Alabama
Lila Rebecca Webster Lake,Alabama
Liles Lake,Alabama
Lime Springs Lake,Alabama
Limestone Lakes,Alabama
Lingo Pond,Alabama
Little and Stuckys Lake,Alabama
Little Bateau Bay,Alabama
Little Chippewa Lake,Alabama
Little Keaton Lake,Alabama
Little Lake,Alabama
Little Okeechobee Pond,Alabama
Little Pond,Alabama
Little Reservoir,Alabama
Littles Lake,Alabama
Livingston Lake,Alabama
Lochenglen Lake,Alabama
Long Pond,Alabama
Longview Lake,Alabama
Lost Creek Lake Number 1,Alabama
Lost Creek Lake Number 2,Alabama
Lost Creek Lake Number 3,Alabama
Lost Creek Lake Number 4,Alabama
"Louise, Lake",Alabama
Louisville Club Pond,Alabama
Lower Fisher Lake,Alabama
Luker Lake,Alabama
Lunker Lake,Alabama
Luther Hall Lake,Alabama
Luther Pond,Alabama
Lyles Lake,Alabama
Mabel Bedsole Ward Trust Lake,Alabama
MacMillan Bloedel Incorporated Waste Pond,Alabama
Maddox Lake,Alabama
Maddox Ponds,Alabama
Madison County Lake,Alabama
Maier Lake,Alabama
Mallory Lake,Alabama
Manette Pond,Alabama
Manning Pond,Alabama
Marble City Lake,Alabama
Marengo Lake,Alabama
Margaret Lake,Alabama
Marie Lake,Alabama
Marion Fish Hatchery Number One,Alabama
Marley Millpond,Alabama
Marsh Lake,Alabama
Martin Lake,Alabama
Martin Pond,Alabama
Martins Lake,Alabama
Martins Pond,Alabama
"Mary, Lake",Alabama
Massey Lake,Alabama
Masseys Pond,Alabama
Matthews Lake,Alabama
Maubila Boy Scout Lake,Alabama
McCalls Pond,Alabama
McCann Lake,Alabama
McClurkin Lake Number Three,Alabama
McCullars Lake Number 1,Alabama
McDavid Lake,Alabama
McGee Lake,Alabama
McGhee Lake Number Two,Alabama
McGouirk Lake,Alabama
McGowin Lake,Alabama
Mcgregor Lake,Alabama
McHugh Lake,Alabama
McKay Lake,Alabama
Mckee Pond,Alabama
McKelveys Lakes,Alabama
McLean Lake Number 1,Alabama
McManus Pond,Alabama
McMicken Lake,Alabama
McMillan Pond,Alabama
McMurray Lake,Alabama
McQueens Pond,Alabama
Meadow Pond,Alabama
Means Lake,Alabama
Merriweather Lake,Alabama
Messick Pond,Alabama
Middleton Lake,Alabama
Midfield Lake,Alabama
Miller Brothers Lake Number Three,Alabama
Miller Lake,Alabama
Miller Pond,Alabama
Million Dollar Lake,Alabama
Mills Lake Lower,Alabama
Mimms Lake,Alabama
Mimosa Lake,Alabama
Minith Lake,Alabama
Mississippi Pond,Alabama
Mitchell Lake,Alabama
Moman Lake,Alabama
Monaghan Lake,Alabama
Monger Lake,Alabama
Monte Pond,Alabama
Montgomery Hunting Club Lake,Alabama
Montz Lake Number Four,Alabama
Moon Glow Lake,Alabama
Moon Lake,Alabama
Moore Lake,Alabama
Moore Pond,Alabama
Moorers Lake,Alabama
Moores Pond,Alabama
Moran Lake One,Alabama
Morgans Pond,Alabama
Morris Dees Lake Number Two,Alabama
Morris Pond,Alabama
Morrison Brothers Lake,Alabama
Moss Lake,Alabama
Mott Lake,Alabama
Moulton City Lake,Alabama
Mountain Brook Lake,Alabama
Mountain Lake,Alabama
Mountain View Lake,Alabama
Mullin Lake,Alabama
Mump Creek Reservoir,Alabama
Murdock Pond,Alabama
Murphree Lake,Alabama
Murphy Averette Lake,Alabama
Murphy Lake,Alabama
N S Haltam Lake,Alabama
Nab Drennen Lake Number 1,Alabama
Nab Drennen Lake Number 2,Alabama
Nall Pond,Alabama
Natchez State Lake,Alabama
National Lake,Alabama
Nazarene Church Lake,Alabama
Neal Spears Lake,Alabama
Neals Pond,Alabama
Negro Lake,Alabama
Nelson Lake,Alabama
Nelsons Lake,Alabama
Nesbitt Lake,Alabama
New Big Lake,Alabama
New Hope Lake,Alabama
Newberrys Pond,Alabama
Newburys Pond,Alabama
Newfound Creek Lake,Alabama
Nibletts Pond,Alabama
Nichols Lake,Alabama
Nichols Pond,Alabama
Nix Lake,Alabama
Nolin Lake,Alabama
Normans Lake,Alabama
Norris Pond,Alabama
North Lake,Alabama
North Valley View Lake,Alabama
Northwood Lake,Alabama
Norton Lake,Alabama
Norwoods Pond,Alabama
Notasulga City Lake,Alabama
O H Williams Lake,Alabama
Oak Mountain Lake,Alabama
Odum Lake Number 1,Alabama
Ogletree Outing Club Lake,Alabama
Old Camp Cosby Lake,Alabama
Old Country Club Pond,Alabama
Old Hog Wallow Lake,Alabama
Old Lake,Alabama
Oleander Pond,Alabama
Olson Pond,Alabama
Opine Lake,Alabama
Opp Fishing Club Lake,Alabama
Optimist Lake,Alabama
Orneys Place Pond,Alabama
Orrs Lake,Alabama
Osborne Lake,Alabama
Otter Pond,Alabama
Overton Lake,Alabama
Owens Lake,Alabama
Owensby Lake Number One,Alabama
Oxford Lake,Alabama
P M Johnston Lake Number One,Alabama
P M Johnston Lake Number Two,Alabama
Palmers Lake,Alabama
Paradise Lake,Alabama
Pardue Lake,Alabama
Parkmans Pond,Alabama
Parnells Pond,Alabama
Partlow Lake Lower,Alabama
Partlow Lake Upper,Alabama
Pates Lake,Alabama
Patterson Lake,Alabama
Patton Lake,Alabama
Pattons Lake,Alabama
Paulk Lake,Alabama
Pawnee Reservoir,Alabama
Payne Lake,Alabama
Permans Lake,Alabama
Perry Pond,Alabama
Perrys Lake,Alabama
Pettits Fishponds,Alabama
Phillips Lake,Alabama
Pickering Lake,Alabama
Pigeon Pond,Alabama
Pikes Pond,Alabama
Pine Lake,Alabama
Pine Ridge Lake,Alabama
Pine Tree Country Club Lake,Alabama
Pine View Lake,Alabama
Pinedale Lake,Alabama
Pineview Lake,Alabama
