HUC8,HUC4,region
9030009,903,
9030010,903,
9030011,903,
9040001,904,
9040002,904,
9040003,904,
9040004,904,
10020001,1002,NW
10020002,1002,NW
10020003,1002,NW
10020004,1002,NW
10020005,1002,NW
10020006,1002,NW
10020007,1002,NW
10020008,1002,NW
10030101,1003,
10030102,1003,
10030103,1003,
10030104,1003,
10030105,1003,
10030201,1003,
10030202,1003,
10030203,1003,
10030204,1003,
10030205,1003,
10040101,1004,
10040102,1004,
10040103,1004,
10040104,1004,
10040105,1004,
10040106,1004,
10040201,1004,
10040202,1004,
10040203,1004,
10040204,1004,
10040205,1004,
10050001,1005,
10050002,1005,
10050003,1005,
10050004,1005,
10050005,1005,
10050006,1005,
10050007,1005,
10050008,1005,
10050009,1005,
10050010,1005,
10050011,1005,
10050012,1005,
10050013,1005,
10050014,1005,
10050015,1005,
10050016,1005,
10060001,1006,
10060002,1006,
10060003,1006,
10060004,1006,
10060005,1006,
10060006,1006,
10060007,1006,
10070001,1007,
10070002,1007,
10070003,1007,
10070004,1007,
10070005,1007,
10070006,1007,
10070007,1007,
10070008,1007,
10080001,1008,
10080002,1008,
10080003,1008,
10080004,1008,
10080005,1008,
10080006,1008,
10080007,1008,
10080008,1008,
10080009,1008,
10080010,1008,
10080011,1008,
10080012,1008,
10080013,1008,
10080014,1008,
10080015,1008,
10080016,1008,
10090101,1009,
10090102,1009,
10090201,1009,
10090202,1009,
10090203,1009,
10090204,1009,
10090205,1009,
10090206,1009,
10090207,1009,
10090208,1009,
10090209,1009,
10090210,1009,
10100001,1010,
10100002,1010,
10100003,1010,
10100004,1010,
10100005,1010,
10110101,1011,
10110102,1011,
10110201,1011,
10110202,1011,
10110203,1011,
10110204,1011,
10110205,1011,
10120101,1012,
10120102,1012,
10120103,1012,
10120104,1012,
10120105,1012,
10120106,1012,
10120107,1012,
10120108,1012,
10120109,1012,
10120110,1012,
10120111,1012,
10120112,1012,
10120113,1012,
10120201,1012,
10120202,1012,
10120203,1012,
10130101,1013,
10130102,1013,
10130103,1013,
10130104,1013,
10130105,1013,
10130106,1013,
10130201,1013,
10130202,1013,
10130203,1013,
10130204,1013,
10130205,1013,
10130206,1013,
10130301,1013,
10130302,1013,
10130303,1013,
10130304,1013,
10130305,1013,
10130306,1013,
10140101,1014,
10140102,1014,
10140103,1014,
10140104,1014,
10140105,1014,
10140201,1014,
10140202,1014,
10140203,1014,
10140204,1014,
10150001,1015,
10150002,1015,
10150003,1015,
10150004,1015,
10150005,1015,
10150006,1015,
10150007,1015,
10160001,1016,
10160002,1016,
10160003,1016,
10160004,1016,
10160005,1016,
10160006,1016,
10160007,1016,
10160008,1016,
10160009,1016,
10160011,1016,
10170101,1017,
10170102,1017,
10170103,1017,
10170201,1017,
10170202,1017,
10170203,1017,
10170204,1017,
10180001,1018,
10180002,1018,
10180003,1018,
10180004,1018,
10180005,1018,
10180006,1018,
10180007,1018,
10180008,1018,
