HUC8,BCG
11030005,4
11030006,4
11030007,4
11030008,4
11030009,4
11030010,4
11030011,4
11030012,4
11030013,4
11030014,3
11030015,4
11030016,4
11030017,3
11030018,4
11040001,6
11040002,6
11040003,6
11040004,6
11040005,5
11040006,6
11040007,6
11040008,4
11050001,5
11050002,5
11050003,5
11060001,5
11060002,4
11060003,2
11060004,3
11060005,4
11060006,6
11070101,3
11070102,3
11070103,3
11070104,3
11070105,4
11070106,3
11070107,3
11070201,3
11070202,3
11070203,3
11070204,4
11070205,3
11070206,4
11070207,4
11070208,4
11070209,3
11080001,4
11080002,4
11080003,4
11080004,4
11080005,4
11080006,3
11080007,3
11080008,4
11090101,6
11090102,6
11090103,6
11090104,6
11090105,6
11090106,4
11090201,4
11090202,6
11090203,6
11090204,6
11100101,4
11100102,4
11100103,4
11100104,4
11100201,4
11100202,4
11100203,2
11100301,4
11100302,4
11100303,3
11110101,2
11110102,4
11110103,3
11110104,5
11110105,5
11110201,5
11110202,4
11110203,6
11110204,5
11110205,5
11110206,6
11110207,5
11120101,4
11120102,4
11120103,4
11120104,4
11120105,4
11120201,4
11120202,4
11120301,4
11120302,4
11120303,4
11120304,6
11130101,5
11130102,5
11130103,4
11130104,4
11130105,4
11130201,4
11130202,5
11130203,4
11130204,4
11130205,4
11130206,4
11130207,4
11130208,4
11130209,4
11130210,5
11130301,4
11130302,4
11130303,4
11130304,3
11140101,5
11140102,5
11140103,5
11140104,4
11140105,5
11140106,5
11140107,3
11140108,4
11140109,5
11140201,5
11140202,5
11140203,5
11140204,5
11140205,5
11140206,6
11140207,5
11140208,5
11140209,5
11140301,5
11140302,4
11140303,5
11140304,5
11140305,3
11140306,4
11140307,5
12010001,4
12010002,4
12010003,4
12010004,5
12010005,4
12020001,4
12020002,5
12020003,4
12020004,4
12020005,4
12020006,3
12020007,4
12030101,4
12030102,4
12030103,3
12030104,4
12030105,3
12030106,4
12030107,4
12030108,4
12030109,4
12030201,4
12030202,4
12030203,4
12040101,2
12040102,3
12040103,2
12040104,6
12040201,5
12040202,2
12040203,2
12040204,2
12040205,2
12050001,5
12050002,5
12050003,5
12050004,5
12050005,5
12050006,5
12050007,5
12060101,6
12060102,4
12060103,2
12060104,3
12060105,3
12060201,4
12060202,3
12060203,2
12060204,2
12070101,4
12070102,2
12070103,4
12070104,3
12070201,3
12070202,3
12070203,2
12070204,2
12070205,2
12080001,6
12080002,6
12080003,6
12080004,6
12080005,6
12080006,6
12080007,6
12080008,6
12090101,4
12090102,4
12090103,3
12090104,4
12090105,3
12090106,4
12090107,3
12090108,4
12090109,2
12090110,3
12090201,3
12090202,3
12090203,3
12090204,3
12090205,2
12090206,3
12090301,2
12090302,2
12090401,2
12090402,2
12100101,2
12100102,2
12100201,2
12100202,3
12100203,2
12100204,4
12100301,2
