st2,NAME,lake,lat,lon
WV,Mineral,Jennings Randolph Lake,39.4180144408797,-79.1366346486988
WV,Morgan,Tubby's Pond,39.5296931450775,-78.4545486780804
WV,Jackson,Turkey Run Lake,38.9667085620317,-81.7706458583972
WV,Wood,Catch and Release,39.4019666519268,-81.441241094188
WV,Jackson,Kera Lakes,38.9232204455736,-81.8187094223916
WV,Jackson,Turkey Foot Lake,38.9782334980027,-81.7660602767228
WV,Ohio,Pike Island Pool,40.1787668737865,-80.684060341147
WV,Monongalia,Cheat Lake,39.6877917123935,-79.8669817899101
WV,Monongalia,Point Marion Pool,39.6744566820003,-79.9574968419942
WV,Hardy,Rockcliff Lake,38.9589716685453,-78.7379551075362
WV,Hardy,Trout Pond,38.9550454502708,-78.7359923895663
WV,Jefferson,Lake Shannondale,39.2093176616416,-77.8154481016268
WV,Wood,Lake Washington,39.2535610645734,-81.6578412663911
WV,Pocahontas,Shavers Lake,38.4168151585469,-79.9817514868386
WV,Grant,Mount Storm Lake,39.1876354927438,-79.2606382598821
WV,Monongalia,Cobun Creek Reservoir,39.6106743199664,-79.9636935808173
WV,Jefferson,Lake Quigley,39.3221913694144,-77.7367018404809
WV,Mercer,Ada Lake,37.281028645932,-81.1506504143779
WV,Mercer,Doctor Daniel Hale Lake,37.3205518231486,-81.1872870041625
WV,Mercer,Horton Lake,37.2771240028099,-81.1764030048057
WV,Hardy,Kimsey Run Lake,38.9592033984138,-78.8170119024876
WV,Preston,Lake O' Woods,39.7047037551292,-79.7380650079843
WV,Mineral,Kalbaugh Pond,39.4202376587706,-79.1155640255897
WV,Ohio,Good Lake,40.0591341071393,-80.6696955038586
WV,Mercer,Athens Reservoir,37.403165418145,-81.0166616384817
WV,Morgan,Cacapon Lake,39.5081044574736,-78.3064635826336
WV,Preston,Big Bear Lake,39.6007286536787,-79.505825162781
WV,Monongalia,Mason Lake,39.6868927896088,-80.115641384232
WV,Harrison,Maple Lake,39.291503895394,-80.2088314232986
WV,Harrison,Oral Lake,39.2754947952095,-80.2181314269907
WV,Harrison,Hinkel Lake,39.273115437938,-80.2541995272182
WV,Harrison,Deegan Lake,39.2665141286431,-80.2502492585081
WV,Raleigh,Lake Stephens,37.7913509817808,-81.2993541974183
WV,Raleigh,Raleigh County Airport Pond,37.7844644611309,-81.116881702208
WV,Raleigh,Little Beaver Lake,37.7528749105126,-81.0810133504523
WV,Greenbrier,Summit Lake,38.2520439621216,-80.4371389854384
WV,Monongalia,Stiles Run Dam,39.7088262786788,-80.2987999054469
WV,Webster,Caesar Lake,38.414377373312,-80.4870169216209
WV,Pocahontas,Lake Buffalo,38.5314976364014,-79.7021790350421
WV,Randolph,Sherwan Lake,38.8295829979077,-79.8705986844098
WV,Raleigh,Flat Top Lake,37.6198826345937,-81.101704722037
WV,Fayette,Plum Orchard Lake,37.9458358898177,-81.2192681384555
WV,Preston,Hulls Lake,39.4697076063223,-79.4985961785126
WV,Ohio,Schenk Lake,40.0990777691419,-80.6638067202182
WV,Harrison,Lake Floyd,39.2854568315794,-80.5057794604523
WV,Kanawha,Coonskin Park Pond,38.3905855814498,-81.5837029599603
WV,Hampshire,Runoff Pond,39.3066440210739,-78.4226325633793
WV,Fayette,Hoover Pond Dam,38.0373028706058,-80.9153870175505
WV,Fayette,C.W.Blake Pond,38.0343498892475,-80.9094834221925
WV,Fayette,JWBlake Pond,38.0346535369294,-80.9146154034008
WV,Fayette,LMcGraw Pond,38.0356746917878,-80.9108698761936
WV,Roane,Charles Fork Lake,38.7620999374584,-81.3448966869117
WV,Wood,Mountwood Park Lake,39.2413063371544,-81.3086405608085
WV,Wood,Highland Lake,39.2651023962748,-81.6341443496564
WV,Wood,Lake Ron,39.2632906418536,-81.6316346605477
WV,Logan,Ridge View Twin Lakes,37.927522227424,-81.9875942717964
WV,Mineral,Keyser Reservoir,39.3897668046356,-78.9820459231023
WV,Mercer,Durrs Pond,37.3916736292431,-81.0424782434802
WV,Kanawha,Lake Chaweva,38.4151618422043,-81.7882928014581
WV,Kanawha,Yukon Lake,38.5580376096673,-81.5686898848052
WV,Preston,Silver Lake,39.2544341314948,-79.4957947814404
WV,Wood,Smith Lakes,39.234352680193,-81.5792280283283
WV,Pocahontas,Seneca Lake,38.3069770685601,-79.9412639681749
WV,Logan,Hyer Lake,37.9592379552765,-81.9776392696896
WV,Pendleton,Brandywine Lake,38.600642686541,-79.2039595668664
WV,Pendleton,Dam No. 12,38.6359722778808,-79.2187766502831
WV,Preston,Upper Deckers Creek Structure Number One Dam Resevoir,39.5045044591028,-79.8419031395382
WV,Monongalia,Deckers Creek Source,39.5385561772655,-79.8821823927058
WV,Monongalia,Harris Lake,39.6786418034491,-79.7757785730476
WV,Monongalia,Coopers Rock Lake,39.6596298133084,-79.7898933538307
WV,Monongalia,Lagoon,39.6462530316284,-79.982723533482
WV,Tucker,Pendleton Lake,39.117461415673,-79.4977662815318
WV,Morgan,Cacapon State Park Lake,39.5009181744848,-78.2971474509638
WV,Randolph,Spruce Knob Lake,38.7026547338699,-79.5882250670694
WV,Grant,Elk Run Reservoir,39.2041838623026,-79.3990445851478
WV,Upshur,Renny Halls Farm Pond,38.9534399331071,-80.1707561684712
WV,Hampshire,Lake Ferndale,39.4602934603955,-78.6053943900013
WV,Webster,Big Ditch Lake,38.4073944219992,-80.5725432963061
WV,Mingo,Laurel Lake,37.8433876103103,-82.2121190759819
WV,Taylor,Tygart Lake,39.2782461199944,-80.0045196269586
WV,Berkeley,Poorhouse Farm Park Lake,39.4601479846081,-78.0380962192631
WV,Tucker,Big Pond Puddle,39.1469377399124,-79.4538142198973
WV,Cabell,Lake William,38.3872197326763,-82.2993595627326
WV,Roane,Miletree Lakes,38.8065540701088,-81.3680864100322
WV,Doddridge,Crystal Lake,39.3265476541196,-80.7947062249401
WV,Pendleton,Dam No. 10,38.6606199324257,-79.1912927986994
WV,Harrison,Buffalo Lake,39.2028517612287,-80.4271093207315
WV,Berkeley,North Mountain Paintball,39.3455754268364,-78.1385006544251
WV,Harrison,Salem Auxillary Lake,39.2901031643387,-80.5518743273048
WV,Marion,Laurel Run Lake,39.4669156394121,-79.9961480048331
WV,Monongalia,Paradise Lake,39.5008415248411,-79.9090158954858
WV,Monongalia,Wildwood Lake,39.5045234596848,-79.9041232095005
WV,Barbour,Teter Creek Lake,39.1072333104064,-79.8738148222799
WV,Pendleton,Dam No. 9,38.6758191955125,-79.1667855701939
WV,Randolph,Scott Lake,38.8129421208392,-79.8755549881988
WV,Cabell,Lake of Eden,38.4087787512254,-82.2613854071535
WV,Cabell,Melody T Lake,38.4285403760475,-82.2533959048807
WV,Summers,Long Branch Lake,37.5356123451432,-80.9829382721494
WV,Cabell,Culloden Lake,38.4141206135385,-82.0575742581208
WV,Greenbrier,Lake Sherwood,38.0060928723341,-80.0063237788912
WV,Ohio,Wheeling Creek Structure Number Seven Dam,40.0309657509113,-80.5788530992526
WV,Barbour,Mill Creek Reservoir,39.0072855953979,-79.9095955935539
WV,Hampshire,The Pool,39.1326672729988,-78.4791067604455
WV,Hampshire,Capon Springs Pond,39.135275589092,-78.480594127067
WV,Morgan,Pennsylvania Glass Sand Dam B Lake,39.6622712530301,-78.2060839506907
WV,Marion,Rock Lake,39.3971137637749,-80.0655129694931
